symbol,window,family,rr,volume,trades,win_rate,profit_factor,net_r,consistency,max_drawdown_r,composite,min_trades_pass,no_future_leakage
BEL,09:15-09:20,orb_breakout,3.000000,0,515,0.520388,1.300570,60.190339,0.703704,11.120777,53.888651,1,1
BEL,09:15-09:30,orb_breakout,2.000000,0,455,0.527473,1.234805,33.970304,0.629630,12.291265,26.061993,1,1
BEL,09:15-09:35,orb_breakout,2.000000,0,433,0.508083,1.206419,26.874581,0.555556,14.286703,16.572075,1,1
BEL,09:15-09:40,orb_breakout,2.000000,0,416,0.504808,1.170512,20.901957,0.555556,13.785703,11.064544,1,1
TATAPOWER,09:15-09:20,orb_breakout,3.000000,1,191,0.455497,0.974256,-2.011866,0.518519,9.182105,-7.627123,1,1
TATAPOWER,09:15-09:30,orb_breakout,3.000000,1,234,0.435897,0.770814,-22.548418,0.370370,23.293255,-43.219007,1,1
TATAPOWER,09:15-09:35,orb_breakout,3.000000,1,233,0.463519,0.802456,-17.511694,0.259259,19.564881,-34.977823,1,1
TATAPOWER,09:15-09:40,orb_breakout,3.000000,1,223,0.493274,0.884749,-9.273458,0.296296,15.676431,-22.583658,1,1
VEDL,09:15-09:20,orb_breakout,2.000000,0,503,0.451292,1.013047,2.883281,0.592593,15.982660,-9.123369,1,1
VEDL,09:15-09:30,orb_breakout,2.000000,1,181,0.386740,0.788980,-14.283303,0.370370,19.308296,-30.950767,1,1
VEDL,09:15-09:35,orb_breakout,1.000000,1,191,0.450262,0.835167,-10.831911,0.481481,20.115518,-27.704854,1,1
VEDL,09:15-09:40,orb_breakout,1.000000,1,201,0.452736,0.825209,-11.705159,0.481481,19.317667,-27.790209,1,1
