datetime,open,high,low,close,volume,adx_14,plus_di_14,minus_di_14,adx_signal,williams_r_14,williams_r_signal,cci_20,cci_signal,mfi_14,mfi_signal,aroon_up_25,aroon_down_25,aroon_signal,adx_formula,williams_r_formula,cci_formula,mfi_formula,aroon_formula,live_execution_rule
2026-02-17 09:30:00-05:00,258.04998779296875,259.489990234375,255.55299377441406,258.70001220703125,2753104,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 09:35:00-05:00,258.70001220703125,259.6700134277344,258.0849914550781,259.0199890136719,691826,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 09:40:00-05:00,259.05999755859375,259.6600036621094,258.6499938964844,258.9599914550781,529794,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 09:45:00-05:00,258.94000244140625,259.7200012207031,258.3800048828125,259.2900085449219,604529,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 09:50:00-05:00,259.29998779296875,259.6400146484375,258.5199890136719,259.09991455078125,355159,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 09:55:00-05:00,259.1000061035156,259.1000061035156,258.17999267578125,258.6000061035156,403802,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 10:00:00-05:00,258.55499267578125,259.7200012207031,258.43499755859375,259.5,369024,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 10:05:00-05:00,259.5150146484375,259.7200012207031,259.1600036621094,259.6300048828125,296663,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 10:10:00-05:00,259.6300048828125,260.0,259.260009765625,259.81500244140625,435426,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
2026-02-17 10:15:00-05:00,259.7900085449219,261.3900146484375,259.7850036621094,261.260009765625,737567,,,,,,,,,,,,,,"ADX 14 Wilder: +DM/-DM from high/low movement, TR/ATR Wilder EMA alpha=1/14, +DI/-DI, DX, ADX. Signals: trend_strength_on when ADX crosses above 25; bull/bear DI cross only if ADX>20.","Williams %R 14: -100*(highest_high14-close)/(highest_high14-lowest_low14). Bull when crosses above -80, bear when crosses below -20.","CCI 20: typical price=(H+L+C)/3, SMA20, mean absolute deviation, CCI=(TP-SMA)/(0.015*MAD). Bull when crosses above -100, bear when crosses below +100.","MFI 14: typical price*volume positive/negative money flow sums. MFI=100-(100/(1+PMF/NMF)). Bull when crosses above 30, bear when crosses below 70.","Aroon 25: bars since highest high/lowest low converted to 0-100. Bull when Aroon Up crosses above Down, bear when Down crosses above Up.",Signal candle close = confirmation only. Earliest live entry = next candle/open. No same-candle execution.
