strategy,direction,passed,display_verdict,fail_reasons,warning,full_trades,full_win_rate,full_return_pct,full_pf,full_sharpe,full_maxdd_pct,full_avg_ret_pct,full_reliable,train_trades,train_win_rate,train_return_pct,train_pf,train_sharpe,train_maxdd_pct,train_avg_ret_pct,train_reliable,val_trades,val_win_rate,val_return_pct,val_pf,val_sharpe,val_maxdd_pct,val_avg_ret_pct,val_reliable,hold_trades,hold_win_rate,hold_return_pct,hold_pf,hold_sharpe,hold_maxdd_pct,hold_avg_ret_pct,hold_reliable
L_trend_dd_recovery,long,False,REJECT,full trades 60 < 100; validation trades 2 < 20; holdout trades 2 < 20; full PF 0.432 < 1.15,Do not trust split metrics with less than 20 trades.,60,33.33,-16.52,0.432,-58.363,-16.79,-0.2981,True,56,32.14,-16.79,0.401,-64.083,-16.12,-0.3254,True,2,50.0,-0.11,0.875,-6.481,0.0,-0.05,False,2,50.0,0.44,2.661,44.106,-0.26,0.2185,False
L_trend_macd_aroon,long,False,REJECT,full PF 0.398 < 1.15; validation PF 0.447 < 1.0; holdout PF 0.531 < 1.0; full maxDD -92.78% <= -25%; validation return -25.76% <= -10%; holdout return -20.67% <= -10%,,1024,32.32,-92.73,0.398,-58.929,-92.78,-0.2539,True,744,30.51,-87.65,0.37,-64.443,-88.01,-0.279,True,146,36.99,-25.76,0.447,-49.454,-26.79,-0.2023,True,134,37.31,-20.67,0.531,-39.059,-21.45,-0.1709,True
L_strict_long_run,long,False,REJECT,full PF 0.369 < 1.15; validation PF 0.367 < 1.0; holdout PF 0.342 < 1.0; full maxDD -99.22% <= -25%; validation return -44.53% <= -10%; holdout return -53.95% <= -10%,,1828,30.69,-99.21,0.369,-63.028,-99.22,-0.263,True,1290,31.16,-96.92,0.376,-62.62,-96.96,-0.2676,True,265,29.43,-44.53,0.367,-59.937,-45.13,-0.2209,True,273,29.67,-53.95,0.342,-68.208,-53.97,-0.282,True
L_trend_macd_rsi_mfi,long,False,REJECT,full PF 0.355 < 1.15; validation PF 0.325 < 1.0; holdout PF 0.372 < 1.0; full maxDD -89.34% <= -25%; validation return -28.13% <= -10%; holdout return -23.69% <= -10%,,792,29.04,-89.42,0.355,-66.475,-89.34,-0.2816,True,563,28.42,-80.72,0.358,-66.839,-80.56,-0.2902,True,127,29.92,-28.13,0.325,-68.592,-29.48,-0.2584,True,102,31.37,-23.69,0.372,-62.222,-23.58,-0.263,True
L_trend_pullback_willr,long,False,REJECT,full PF 0.324 < 1.15; validation PF 0.395 < 1.0; holdout PF 0.235 < 1.0; full maxDD -75.13% <= -25%; validation return -12.13% <= -10%; holdout return -27.74% <= -10%,,480,28.12,-74.96,0.324,-71.212,-75.13,-0.2865,True,320,29.06,-60.56,0.34,-68.966,-61.11,-0.2887,True,72,27.78,-12.13,0.395,-53.685,-13.47,-0.1783,True,88,25.0,-27.74,0.235,-94.76,-28.01,-0.3671,True
S_strict_short_run,short,False,REJECT,full PF 0.32 < 1.15; validation PF 0.348 < 1.0; holdout PF 0.267 < 1.0; full maxDD -99.61% <= -25%; validation return -50.1% <= -10%; holdout return -60.34% <= -10%,,1876,28.04,-99.61,0.32,-72.262,-99.61,-0.2934,True,1323,27.51,-98.02,0.327,-71.443,-98.04,-0.2943,True,266,29.7,-50.1,0.348,-65.324,-50.48,-0.2595,True,287,28.92,-60.34,0.267,-83.036,-60.52,-0.3203,True
L_trend_pullback_cci,long,False,REJECT,validation trades 19 < 20; full PF 0.306 < 1.15; holdout PF 0.371 < 1.0; full maxDD -29.19% <= -25%,Do not trust split metrics with less than 20 trades.,109,30.28,-29.26,0.306,-75.584,-29.19,-0.3155,True,69,28.99,-21.73,0.284,-82.749,-21.65,-0.3528,True,19,26.32,-4.64,0.335,-64.16,-4.8,-0.2482,False,21,38.1,-5.23,0.371,-59.617,-5.76,-0.2537,True
S_trend_macd_rsi_mfi,short,False,REJECT,full PF 0.303 < 1.15; validation PF 0.46 < 1.0; holdout PF 0.23 < 1.0; full maxDD -93.0% <= -25%; validation return -20.68% <= -10%; holdout return -33.75% <= -10%,,837,26.88,-92.91,0.303,-76.947,-93.0,-0.3141,True,608,26.48,-86.51,0.293,-79.892,-86.6,-0.3273,True,109,35.78,-20.68,0.46,-48.455,-20.77,-0.2105,True,120,20.83,-33.75,0.23,-92.175,-33.96,-0.3412,True
S_trend_pullback_willr,short,False,REJECT,full PF 0.292 < 1.15; validation PF 0.221 < 1.0; holdout PF 0.256 < 1.0; full maxDD -77.22% <= -25%; validation return -19.03% <= -10%; holdout return -19.46% <= -10%,,476,26.26,-77.25,0.292,-77.629,-77.22,-0.3091,True,345,28.12,-65.11,0.312,-74.315,-65.17,-0.3032,True,64,17.19,-19.03,0.221,-91.619,-19.55,-0.3282,True,67,25.37,-19.46,0.256,-82.787,-18.81,-0.321,True
S_trend_macd_aroon,short,False,REJECT,full PF 0.287 < 1.15; validation PF 0.285 < 1.0; holdout PF 0.289 < 1.0; full maxDD -97.1% <= -25%; validation return -37.86% <= -10%; holdout return -41.15% <= -10%,,1081,26.73,-97.12,0.287,-80.325,-97.1,-0.3261,True,755,27.02,-92.13,0.287,-81.049,-92.08,-0.3345,True,157,28.03,-37.86,0.285,-77.957,-37.44,-0.3012,True,169,24.26,-41.15,0.289,-78.954,-40.94,-0.3118,True
S_trend_pullback_cci,short,False,REJECT,validation trades 12 < 20; holdout trades 16 < 20; full PF 0.274 < 1.15; full maxDD -31.05% <= -25%,Do not trust split metrics with less than 20 trades.,103,25.24,-30.95,0.274,-85.438,-31.05,-0.3572,True,75,25.33,-24.03,0.257,-89.313,-25.19,-0.3642,True,12,25.0,-3.23,0.392,-58.133,-3.13,-0.2717,False,16,25.0,-6.07,0.278,-85.962,-5.97,-0.3889,False
